

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

92,Buy,7/13/2018 12:00,LE3,$3454.75,$0.00,4,($51.80),-0.07%,$80.00,50.00%,,$1.40,$2.00
,Sell,7/16/2018 07:00,LX3,$3452.50,,($45.00),$7145.40,,($80.00),21.88%,-28.13%,$1.40,$2.00
93,Buy,7/17/2018 11:15,LE1,$3453.50,$0.00,2,$64.10,0.20%,$127.50,94.44%,,$0.70,$1.00
,Sell,7/18/2018 10:15,LX1,$3460.25,,$67.50,$7209.50,,($7.50),55.56%,50.00%,$0.70,$1.00
94,Buy,7/17/2018 11:30,LE2,$3454.75,$0.00,4,$103.20,0.16%,$230.00,88.46%,,$1.40,$2.00
,Sell,7/18/2018 10:15,LX2,$3460.25,,$110.00,$7312.70,,($30.00),53.85%,42.31%,$1.40,$2.00
95,Buy,7/17/2018 11:45,LE3,$3454.75,$0.00,4,$103.20,0.16%,$230.00,88.46%,,$1.40,$2.00
,Sell,7/18/2018 10:15,LX3,$3460.25,,$110.00,$7415.90,,($30.00),53.85%,42.31%,$1.40,$2.00
96,Buy,7/24/2018 09:45,LE1,$3472.75,$0.00,2,($53.40),-0.14%,$82.50,58.93%,,$0.70,$1.00
,Sell,7/24/2018 13:45,LX1,$3467.75,,($50.00),$7362.50,,($57.50),5.36%,-35.71%,$0.70,$1.00
97,Buy,7/24/2018 10:00,LE2,$3476.75,$0.00,4,($186.80),-0.26%,$85.00,30.36%,,$1.40,$2.00
,Sell,7/24/2018 13:45,LX2,$3467.75,,($180.00),$7175.70,,($195.00),5.36%,-64.29%,$1.40,$2.00
98,Buy,7/24/2018 10:15,LE3,$3476.00,$0.00,4,($171.80),-0.24%,$100.00,35.71%,,$1.40,$2.00
,Sell,7/24/2018 13:45,LX3,$3467.75,,($165.00),$7003.90,,($180.00),5.36%,-58.93%,$1.40,$2.00
99,Buy,7/25/2018 12:45,LE1,$3476.75,$0.00,2,$74.10,0.22%,$225.00,95.74%,,$0.70,$1.00
,Sell,7/25/2018 18:15,% Trailing Stop,$3484.50,,$77.50,$7078.00,,($10.00),37.23%,32.98%,$0.70,$1.00
100,Buy,7/25/2018 13:00,LE2,$3478.00,$0.00,4,$123.20,0.19%,$425.00,92.39%,,$1.40,$2.00
